Fecha,Nombre Equipo,co,co2,pm10,pm2_5,pm5,Humedad Relativa,Temperatura
08/01/2023 12:00:19 AM,AirQualityUnit02,2,450,5,4,4,0,0
08/01/2023 12:02:25 AM,AirQualityUnit02,3,448,6,6,4,65.4,13.6
08/01/2023 12:04:31 AM,AirQualityUnit02,4,453,26,22,14,52.7,0.8
08/01/2023 12:08:36 AM,AirQualityUnit02,6,459,13,10,7,0,0
08/01/2023 12:10:41 AM,AirQualityUnit02,7,461,10,9,6,53,0.8
08/01/2023 12:12:46 AM,AirQualityUnit02,8,458,10,9,6,65.8,13.5
08/01/2023 12:14:51 AM,AirQualityUnit02,9,455,8,7,4,65.9,13.5
08/01/2023 12:16:58 AM,AirQualityUnit02,10,459,7,7,3,0,0
08/01/2023 12:21:03 AM,AirQualityUnit02,12,465,10,9,6,66.2,13.5
08/01/2023 12:25:11 AM,AirQualityUnit02,14,466,10,9,6,66.3,13.4
08/01/2023 12:27:15 AM,AirQualityUnit02,15,460,10,9,6,66.4,13.4
08/01/2023 12:29:20 AM,AirQualityUnit02,16,459,10,9,6,0,0
08/01/2023 12:35:36 AM,AirQualityUnit02,19,465,10,9,6,66.9,13.4
08/01/2023 12:37:42 AM,AirQualityUnit02,20,467,10,9,6,66.9,13.4
08/01/2023 12:39:46 AM,AirQualityUnit02,21,469,10,9,6,67,13.4
08/01/2023 12:43:53 AM,AirQualityUnit02,23,464,10,9,6,0,0
08/01/2023 12:45:58 AM,AirQualityUnit02,24,453,10,9,6,67,13.4
08/01/2023 12:48:03 AM,AirQualityUnit02,25,458,10,9,6,67,13.3
08/01/2023 12:52:10 AM,AirQualityUnit02,27,466,10,9,6,67.2,13.3
08/01/2023 12:54:15 AM,AirQualityUnit02,28,458,10,9,6,67.3,13.3
08/01/2023 12:56:20 AM,AirQualityUnit02,29,452,10,9,6,67.3,13.2
08/01/2023 12:58:24 AM,AirQualityUnit02,30,437,10,9,6,67.6,13.2
08/01/2023 01:02:40 AM,AirQualityUnit02,1,449,5,5,4,0,0
08/01/2023 01:04:47 AM,AirQualityUnit02,2,452,7,7,4,68.2,13
08/01/2023 01:06:50 AM,AirQualityUnit02,3,473,7,7,5,68.3,13
08/01/2023 01:10:58 AM,AirQualityUnit02,5,466,7,6,4,0,0
08/01/2023 01:13:02 AM,AirQualityUnit02,6,462,8,6,4,68.7,12.9
08/01/2023 01:15:08 AM,AirQualityUnit02,7,451,12,10,5,68.9,12.9
08/01/2023 01:17:14 AM,AirQualityUnit02,8,448,6,6,4,69.1,12.9
08/01/2023 01:21:22 AM,AirQualityUnit02,10,455,6,5,4,0,0
08/01/2023 01:27:32 AM,AirQualityUnit02,13,468,7,6,4,69.3,12.9
08/01/2023 01:29:36 AM,AirQualityUnit02,14,469,7,6,4,69.4,13
08/01/2023 01:31:41 AM,AirQualityUnit02,15,471,7,6,4,69.4,13
08/01/2023 01:33:48 AM,AirQualityUnit02,16,470,7,6,4,0,0
08/01/2023 01:35:50 AM,AirQualityUnit02,17,456,7,6,4,69.5,13
08/01/2023 01:39:57 AM,AirQualityUnit02,19,471,7,6,4,0,0
08/01/2023 01:42:03 AM,AirQualityUnit02,20,471,7,6,4,0,0
08/01/2023 01:44:07 AM,AirQualityUnit02,21,472,7,6,4,0,0
08/01/2023 01:46:12 AM,AirQualityUnit02,22,466,7,6,4,69.5,12.9
08/01/2023 01:48:16 AM,AirQualityUnit02,23,467,7,6,4,0,0
08/01/2023 01:50:21 AM,AirQualityUnit02,24,461,7,6,4,69.6,12.9
08/01/2023 01:52:25 AM,AirQualityUnit02,25,457,7,6,4,69.7,12.9
08/01/2023 01:54:35 AM,AirQualityUnit02,26,450,7,6,4,69.8,12.9
08/01/2023 01:56:40 AM,AirQualityUnit02,27,452,7,6,4,0,0
08/01/2023 01:58:46 AM,AirQualityUnit02,28,460,7,6,4,0,0
08/01/2023 02:00:51 AM,AirQualityUnit02,29,460,7,6,4,69.9,12.9
08/01/2023 02:02:55 AM,AirQualityUnit02,30,460,7,6,4,0,0
08/01/2023 02:07:11 AM,AirQualityUnit02,1,447,6,5,4,69.6,12.9
08/01/2023 02:11:18 AM,AirQualityUnit02,3,456,6,5,2,69.6,12.9
08/01/2023 02:13:24 AM,AirQualityUnit02,4,465,9,6,4,69.7,12.9
08/01/2023 02:17:31 AM,AirQualityUnit02,6,463,5,5,3,69.7,12.9
08/01/2023 02:19:36 AM,AirQualityUnit02,7,453,4,4,2,69.7,12.9
08/01/2023 02:21:43 AM,AirQualityUnit02,8,454,7,5,3,0,0
08/01/2023 02:23:47 AM,AirQualityUnit02,9,460,6,5,3,69.7,12.9
08/01/2023 02:25:53 AM,AirQualityUnit02,10,459,5,4,3,69.7,12.9
08/01/2023 02:27:57 AM,AirQualityUnit02,11,459,6,6,4,69.8,12.9
08/01/2023 02:30:02 AM,AirQualityUnit02,12,450,6,6,4,69.9,12.9
08/01/2023 02:32:07 AM,AirQualityUnit02,13,456,6,6,4,69.9,12.9
08/01/2023 02:34:13 AM,AirQualityUnit02,14,461,6,6,4,0,0
08/01/2023 02:36:17 AM,AirQualityUnit02,15,466,4,4,2,70,12.9
08/01/2023 02:38:23 AM,AirQualityUnit02,16,469,5,4,3,70,12.9
08/01/2023 02:42:30 AM,AirQualityUnit02,18,463,6,5,4,70.1,12.9
08/01/2023 02:44:35 AM,AirQualityUnit02,19,460,6,6,3,0,0
08/01/2023 02:46:40 AM,AirQualityUnit02,20,472,6,6,3,70.2,12.9
08/01/2023 02:48:45 AM,AirQualityUnit02,21,472,7,5,3,0,0
08/01/2023 02:50:50 AM,AirQualityUnit02,22,471,6,6,3,57.5,0.1
08/01/2023 02:54:58 AM,AirQualityUnit02,24,455,5,5,3,70.4,12.9
08/01/2023 02:57:02 AM,AirQualityUnit02,25,449,5,5,3,70.4,12.9
08/01/2023 02:59:08 AM,AirQualityUnit02,26,456,5,5,3,70.4,12.9
08/01/2023 03:01:13 AM,AirQualityUnit02,27,464,7,6,3,0,0
08/01/2023 03:05:29 AM,AirQualityUnit02,29,456,8,7,4,0,0
08/01/2023 03:07:34 AM,AirQualityUnit02,30,453,8,7,4,70.3,12.9
08/01/2023 03:11:49 AM,AirQualityUnit02,1,467,5,5,3,70.6,12.9
08/01/2023 03:13:56 AM,AirQualityUnit02,2,468,27,20,16,70.6,12.8
08/01/2023 03:16:00 AM,AirQualityUnit02,3,476,11,11,7,70.6,12.9
08/01/2023 03:18:05 AM,AirQualityUnit02,4,477,4,3,2,70.6,12.9
08/01/2023 03:22:12 AM,AirQualityUnit02,6,483,4,4,3,70.6,12.8
08/01/2023 03:24:18 AM,AirQualityUnit02,7,463,4,4,3,57.8,0.1
08/01/2023 03:26:23 AM,AirQualityUnit02,8,462,7,6,3,0,0
08/01/2023 03:28:28 AM,AirQualityUnit02,9,465,9,6,3,70.6,12.8
08/01/2023 03:32:35 AM,AirQualityUnit02,11,458,8,6,4,70.5,12.9
08/01/2023 03:34:40 AM,AirQualityUnit02,12,453,7,7,5,70.4,12.9
08/01/2023 03:36:45 AM,AirQualityUnit02,13,454,15,8,3,0,0
08/01/2023 03:40:52 AM,AirQualityUnit02,15,469,6,6,4,70.5,12.8
08/01/2023 03:42:57 AM,AirQualityUnit02,16,473,33,27,20,70.5,12.7
08/01/2023 03:49:06 AM,AirQualityUnit02,19,474,7,6,3,70.8,12.6
08/01/2023 03:51:11 AM,AirQualityUnit02,20,477,25,17,11,0,0
08/01/2023 03:53:17 AM,AirQualityUnit02,21,492,11,11,6,71.2,12.6
08/01/2023 03:55:21 AM,AirQualityUnit02,22,491,11,11,6,71.5,12.5
08/01/2023 03:57:26 AM,AirQualityUnit02,23,484,9,8,6,71.6,12.5
08/01/2023 03:59:32 AM,AirQualityUnit02,24,484,8,8,5,0,0
08/01/2023 04:01:37 AM,AirQualityUnit02,25,478,8,8,5,71.9,12.4
08/01/2023 04:03:43 AM,AirQualityUnit02,26,481,18,12,11,0,0
08/01/2023 04:05:48 AM,AirQualityUnit02,27,485,7,7,4,72.1,12.4
08/01/2023 04:07:53 AM,AirQualityUnit02,28,477,7,7,4,72.2,12.4
08/01/2023 04:09:58 AM,AirQualityUnit02,29,477,6,6,4,72.2,12.4
08/01/2023 04:12:02 AM,AirQualityUnit02,30,466,9,8,5,72.3,12.4
08/01/2023 04:16:18 AM,AirQualityUnit02,1,422,15,13,8,0,0
08/01/2023 04:18:25 AM,AirQualityUnit02,2,467,13,12,7,72.8,12.5
08/01/2023 04:20:30 AM,AirQualityUnit02,3,489,11,10,7,0,0
08/01/2023 04:22:34 AM,AirQualityUnit02,4,503,9,9,5,72.8,12.5
08/01/2023 04:24:40 AM,AirQualityUnit02,5,488,10,10,8,60,-0.3
08/01/2023 04:26:45 AM,AirQualityUnit02,6,479,10,9,6,72.7,12.5
08/01/2023 04:28:50 AM,AirQualityUnit02,7,467,12,11,9,72.5,12.5
08/01/2023 04:32:57 AM,AirQualityUnit02,9,462,7,7,5,72.4,12.5
08/01/2023 04:35:02 AM,AirQualityUnit02,10,466,13,13,9,72.4,12.5
08/01/2023 04:37:08 AM,AirQualityUnit02,11,475,13,13,9,0,0
08/01/2023 04:39:12 AM,AirQualityUnit02,12,483,11,8,5,72.4,12.5
08/01/2023 04:41:19 AM,AirQualityUnit02,13,496,13,13,9,72.4,12.5
08/01/2023 04:47:26 AM,AirQualityUnit02,16,470,31,23,16,72.5,12.4
08/01/2023 04:49:31 AM,AirQualityUnit02,17,472,11,10,8,72.5,12.4
08/01/2023 04:51:35 AM,AirQualityUnit02,18,475,11,10,8,72.7,12.4
08/01/2023 04:53:40 AM,AirQualityUnit02,19,482,8,8,6,72.8,12.4
08/01/2023 04:55:45 AM,AirQualityUnit02,20,485,7,6,5,72.9,12.4
08/01/2023 04:57:51 AM,AirQualityUnit02,21,485,7,6,5,72.9,12.4
08/01/2023 05:01:57 AM,AirQualityUnit02,23,479,7,6,5,73,12.4
08/01/2023 05:04:02 AM,AirQualityUnit02,24,487,7,6,5,73.1,12.4
08/01/2023 05:06:07 AM,AirQualityUnit02,25,482,7,6,5,73.1,12.4
08/01/2023 05:08:12 AM,AirQualityUnit02,26,481,7,6,5,73.2,12.5
08/01/2023 05:10:17 AM,AirQualityUnit02,27,481,7,6,5,73.2,12.4
08/01/2023 05:12:21 AM,AirQualityUnit02,28,480,7,6,5,73.2,12.5
08/01/2023 05:14:27 AM,AirQualityUnit02,29,484,7,6,5,73.2,12.5
08/01/2023 05:16:31 AM,AirQualityUnit02,30,482,7,6,5,73.2,12.5
08/01/2023 05:20:48 AM,AirQualityUnit02,1,473,27,18,13,73.5,12.5
08/01/2023 05:22:53 AM,AirQualityUnit02,2,483,27,18,13,73.5,12.5
08/01/2023 05:24:57 AM,AirQualityUnit02,3,490,18,18,11,0,0
08/01/2023 05:27:02 AM,AirQualityUnit02,4,494,10,10,7,73.6,12.5
08/01/2023 05:29:07 AM,AirQualityUnit02,5,497,10,10,7,60.9,-0.3
08/01/2023 05:33:14 AM,AirQualityUnit02,7,498,33,27,20,73.6,12.5
08/01/2023 05:41:24 AM,AirQualityUnit02,11,505,40,27,17,73.9,12.5
08/01/2023 05:45:46 AM,AirQualityUnit02,13,403,23,17,9,74.1,12.4
08/01/2023 05:47:51 AM,AirQualityUnit02,14,447,15,13,9,0,0
08/01/2023 05:50:02 AM,AirQualityUnit02,15,497,21,18,11,0,0
08/01/2023 05:52:04 AM,AirQualityUnit02,16,510,21,18,11,0,0
08/01/2023 05:54:08 AM,AirQualityUnit02,17,525,38,29,21,74.4,12.3
08/01/2023 06:00:17 AM,AirQualityUnit02,20,535,17,15,11,74.8,12.2
08/01/2023 06:02:23 AM,AirQualityUnit02,21,528,54,44,29,74.9,12.2
08/01/2023 06:04:28 AM,AirQualityUnit02,22,521,54,44,29,75.1,12.2
08/01/2023 06:06:32 AM,AirQualityUnit02,23,519,74,62,51,75.3,12.2
08/01/2023 06:08:37 AM,AirQualityUnit02,24,516,33,29,21,75.4,12.3
08/01/2023 06:10:42 AM,AirQualityUnit02,25,511,33,29,21,0,0
08/01/2023 06:12:47 AM,AirQualityUnit02,26,506,60,45,34,75.3,12.3
08/01/2023 06:14:53 AM,AirQualityUnit02,27,486,19,19,13,75.3,12.3
